,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date
387,siraha,26.6541,86.2087,86.5,72,100,6.62,1627439917
388,dvinskoy,62.1535,45.1175,50.02,73,1,3.36,1627439917
389,qujing,25.4833,103.7833,73.13,67,41,2.48,1627439917
390,brigantine,39.4101,-74.3646,80.02,86,1,3.44,1627439918
391,portland,45.5234,-122.6762,86.38,42,40,1.01,1627439703
392,aswan,24.0934,32.907,87.1,26,0,11.5,1627439643
393,saint marys,30.7305,-81.5465,79.23,74,1,4.0,1627439669
394,superior,46.7208,-92.1041,71.02,84,1,3.44,1627439905
395,marzuq,14.4,46.4667,73.38,78,8,7.72,1627439918
396,mangrol,21.1167,70.1167,82.42,84,100,20.65,1627439919
397,ardakan,32.31,54.0175,82.78,14,0,11.32,1627439919
398,mehamn,71.0357,27.8492,47.3,84,97,4.12,1627439668
